Município,Tipo Crime,PC-Qtde Ocorrências
Brasília,Estupro,45.0
Brasília,Furto de veículo,1500.0
Brasília,Homicídio doloso,17.0
Brasília,Roubo de veículo,431.0
Brasília,Roubo seguido de morte (latrocínio),5.0
Brazlândia,Estupro,14.0
Brazlândia,Furto de veículo,93.0
Brazlândia,Homicídio doloso,11.0
Brazlândia,Roubo de veículo,94.0
Candangolândia,Estupro,5.0
Candangolândia,Furto de veículo,23.0
Candangolândia,Homicídio doloso,8.0
Candangolândia,Roubo de veículo,19.0
Ceilândia,Estupro,116.0
Ceilândia,Furto de veículo,1403.0
Ceilândia,Homicídio doloso,136.0
Ceilândia,Roubo de veículo,1375.0
Ceilândia,Roubo seguido de morte (latrocínio),11.0
Cruzeiro,Estupro,4.0
Cruzeiro,Furto de veículo,78.0
Cruzeiro,Homicídio doloso,2.0
Cruzeiro,Roubo de veículo,54.0
Gama,Estupro,50.0
Gama,Furto de veículo,402.0
Gama,Homicídio doloso,55.0
Gama,Roubo de veículo,319.0
Gama,Roubo seguido de morte (latrocínio),4.0
Guará,Estupro,28.0
Guará,Furto de veículo,340.0
Guará,Homicídio doloso,6.0
Guará,Roubo de veículo,293.0
Itapoá,Furto de veículo,4.0
Itapoá,Roubo de veículo,18.0
Jardim Botânico,Estupro,14.0
Jardim Botânico,Furto de veículo,68.0
Jardim Botânico,Homicídio doloso,23.0
Jardim Botânico,Roubo de veículo,53.0
Lago Norte,Estupro,6.0
Lago Norte,Furto de veículo,42.0
Lago Norte,Homicídio doloso,1.0
Lago Norte,Roubo de veículo,25.0
Lago Sul,Estupro,4.0
Lago Sul,Furto de veículo,48.0
Lago Sul,Homicídio doloso,1.0
Lago Sul,Roubo de veículo,28.0
Lago Sul,Roubo seguido de morte (latrocínio),1.0
Núcleo Bandeirante,Estupro,6.0
Núcleo Bandeirante,Furto de veículo,83.0
Núcleo Bandeirante,Homicídio doloso,3.0
Núcleo Bandeirante,Roubo de veículo,105.0
Paranoá,Estupro,23.0
Paranoá,Furto de veículo,114.0
Paranoá,Homicídio doloso,31.0
Paranoá,Roubo de veículo,102.0
Park Way,Estupro,1.0
Park Way,Furto de veículo,13.0
Park Way,Roubo de veículo,26.0
Planaltina,Estupro,72.0
Planaltina,Furto de veículo,286.0
Planaltina,Homicídio doloso,61.0
Planaltina,Roubo de veículo,223.0
Planaltina,Roubo seguido de morte (latrocínio),5.0
Recanto Das Emas,Estupro,33.0
Recanto Das Emas,Furto de veículo,222.0
Recanto Das Emas,Homicídio doloso,46.0
Recanto Das Emas,Roubo de veículo,348.0
Recanto Das Emas,Roubo seguido de morte (latrocínio),2.0
Riacho Fundo,Estupro,28.0
Riacho Fundo,Furto de veículo,159.0
Riacho Fundo,Homicídio doloso,14.0
Riacho Fundo,Roubo de veículo,171.0
Riacho Fundo,Roubo seguido de morte (latrocínio),1.0
S.I.A.,Estupro,21.0
S.I.A.,Furto de veículo,108.0
S.I.A.,Homicídio doloso,27.0
S.I.A.,Roubo de veículo,144.0
S.I.A.,Roubo seguido de morte (latrocínio),2.0
Samambaia,Estupro,61.0
Samambaia,Furto de veículo,580.0
Samambaia,Homicídio doloso,66.0
Samambaia,Roubo de veículo,912.0
Samambaia,Roubo seguido de morte (latrocínio),1.0
Santa Maria,Estupro,43.0
Santa Maria,Furto de veículo,157.0
Santa Maria,Homicídio doloso,39.0
Santa Maria,Lesão corporal seguida de morte,1.0
Santa Maria,Roubo de veículo,348.0
Santa Maria,Roubo seguido de morte (latrocínio),2.0
Scia (Estrutural),Estupro,12.0
Scia (Estrutural),Furto de veículo,70.0
Scia (Estrutural),Homicídio doloso,17.0
Scia (Estrutural),Roubo de veículo,30.0
Sobradinho,Estupro,39.0
Sobradinho,Furto de veículo,246.0
Sobradinho,Homicídio doloso,12.0
Sobradinho,Roubo de veículo,144.0
Sudoeste/Octogonal,Estupro,4.0
Sudoeste/Octogonal,Furto de veículo,97.0
Sudoeste/Octogonal,Homicídio doloso,2.0
Sudoeste/Octogonal,Roubo de veículo,39.0
São Sebastião,Estupro,46.0
São Sebastião,Furto de veículo,97.0
São Sebastião,Homicídio doloso,43.0
São Sebastião,Lesão corporal seguida de morte,1.0
São Sebastião,Roubo de veículo,137.0
Taguatinga,Estupro,65.0
Taguatinga,Furto de veículo,1363.0
Taguatinga,Homicídio doloso,33.0
Taguatinga,Lesão corporal seguida de morte,1.0
Taguatinga,Roubo de veículo,1321.0
Taguatinga,Roubo seguido de morte (latrocínio),9.0
Varjão,Estupro,9.0
Varjão,Furto de veículo,12.0
Varjão,Homicídio doloso,3.0
Vicente Pires,Estupro,11.0
Vicente Pires,Furto de veículo,326.0
Vicente Pires,Homicídio doloso,15.0
Vicente Pires,Roubo de veículo,138.0
Vicente Pires,Roubo seguido de morte (latrocínio),1.0
Águas Claras,Estupro,15.0
Águas Claras,Furto de veículo,410.0
Águas Claras,Homicídio doloso,10.0
Águas Claras,Roubo de veículo,213.0
Águas Claras,Roubo seguido de morte (latrocínio),1.0
